log_message,target_label,complexity
"Cache cleared: 1250 entries removed, 1024MB freed",system_notification,bert
Application started successfully on port 9090,system_notification,bert
SSL certificate renewed for domain api.company.com,system_notification,bert
"Cache cleared: 1250 entries removed, 1024MB freed",system_notification,bert
Application started successfully on port 8080,system_notification,regex
Application started successfully on port 8080,system_notification,bert
API endpoint /metrics responding normally (145ms),system_notification,llm
Configuration file data.csv reloaded successfully,system_notification,regex
ETL pipeline completed: 5 records processed in {minutes} minutes,system_notification,regex
Scheduled backup completed at 2025-09-14 02:00:00,system_notification,bert
ETL pipeline completed: 5 records processed in {minutes} minutes,system_notification,bert
Application started successfully on port 9090,system_notification,bert
SSL certificate renewed for domain service.domain.net,system_notification,bert
Memory usage: 75% of heap (6.2GB/16GB),system_notification,regex
Configuration file config.yaml reloaded successfully,system_notification,bert
Application started successfully on port 3000,system_notification,bert
Memory usage: 82% of heap (4.2GB/8GB),system_notification,regex
Database connection pool initialized with 1250 connections,system_notification,bert
ETL pipeline completed: 5 records processed in {minutes} minutes,system_notification,llm
Memory usage: 60% of heap (7.1GB/8GB),system_notification,regex
"Cache cleared: 1250 entries removed, 512MB freed",system_notification,bert
API endpoint /auth/login responding normally (200ms),system_notification,regex
SSL certificate renewed for domain payments.org,system_notification,bert
Application started successfully on port 3000,system_notification,regex
ETL pipeline completed: 100 records processed in {minutes} minutes,system_notification,bert
Configuration file config.yaml reloaded successfully,system_notification,bert
Database connection pool initialized with 2500 connections,system_notification,regex
API endpoint /v2/orders responding normally (145ms),system_notification,bert
Load balancer health check passed - 1500 nodes healthy,system_notification,regex
Scheduled backup completed at 2025-09-14 14:30:00,system_notification,regex
SSL certificate renewed for domain payments.org,system_notification,regex
Database connection pool initialized with 1500 connections,system_notification,regex
Memory usage: 45% of heap (4.2GB/16GB),system_notification,llm
Application started successfully on port 9090,system_notification,bert
SSL certificate renewed for domain service.domain.net,system_notification,regex
API endpoint /v2/orders responding normally (200ms),system_notification,bert
Memory usage: 82% of heap (7.1GB/16GB),system_notification,bert
ETL pipeline completed: 10 records processed in {minutes} minutes,system_notification,regex
SSL certificate renewed for domain api.company.com,system_notification,bert
Configuration file quarterly.xlsx reloaded successfully,system_notification,bert
Application started successfully on port 443,system_notification,bert
API endpoint /metrics responding normally (145ms),system_notification,regex
Configuration file report.pdf reloaded successfully,system_notification,regex
ETL pipeline completed: 20 records processed in {minutes} minutes,system_notification,regex
Load balancer health check passed - 1500 nodes healthy,system_notification,bert
Application started successfully on port 443,system_notification,bert
